date,home_team,away_team,home_form,away_form,home_goals_scored_avg,home_goals_conceded_avg,away_goals_scored_avg,away_goals_conceded_avg,home_goals_scored_avg_5,away_goals_scored_avg_5,home_draw_rate,away_draw_rate,home_rank_points,away_rank_points,rank_diff,home_elo,away_elo,elo_diff,home_squad_value_log,away_squad_value_log,squad_value_log_diff,home_attack_vs_away_def,away_attack_vs_home_def,h2h_home_winrate,h2h_avg_goals,is_neutral,outcome,home_goals,away_goals
1994-09-07,Wales,Albania,0.5,0.5,1.2,1.2,1.2,1.2,1.2,1.2,0.25,0.25,39.0,13.0,26.0,1650.044340239311,1313.6939487905156,336.35039144879534,6.0,6.0,0.0,1.0,1.0,0.5,2.5,0,0,2.0,0.0
1994-09-07,Northern Ireland,Portugal,1.0,0.5,4.0,1.0,1.2,1.2,4.0,1.2,0.0,0.25,37.0,45.0,-8.0,1622.6198815718049,1733.927657739533,-111.3077761677282,6.0,7.411077162555679,-1.4110771625556788,3.3333333333333335,1.2,0.5,2.5,0,2,1.0,2.0
1994-09-07,Romania,Azerbaijan,0.7,0.5,2.0,1.8,1.2,1.2,2.0,1.2,0.2,0.25,58.0,0.0,58.0,1822.1685260656839,1506.400048203548,315.7684778621358,6.0,6.0,0.0,1.6666666666666667,0.6666666666666666,0.5,2.5,0,0,3.0,0.0
1994-10-08,France,Romania,0.5,0.7666666666666667,0.0,0.0,2.1666666666666665,1.5,0.0,2.0,1.0,0.16666666666666666,50.0,58.0,-8.0,1781.495262994578,1822.8242151815398,-41.328952186961715,7.607275285355206,6.0,1.6072752853552057,0.0,4.333333333333333,0.5,2.5,0,1,0.0,0.0
1994-10-08,Armenia,Cyprus,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,23.0,-18.0,1490.5017465694395,1327.5609061408202,162.94084042861937,6.0,6.0,0.0,0.0,0.5,0.5,2.5,0,1,0.0,0.0
1994-10-08,Estonia,Italy,0.0,0.7023809523809524,0.0,2.0,1.125,0.75,0.0,1.4,0.0,0.375,11.0,62.0,-51.0,1202.7024707462708,1911.2223713880214,-708.5199006417506,6.0,6.0,0.0,0.0,0.5625,0.5,2.5,0,2,0.0,2.0
1994-10-09,Latvia,Portugal,0.0,1.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,23.0,46.0,-23.0,1355.478741615547,1734.307826817347,-378.8290852017999,6.0,7.420622480461909,-1.4206224804619092,0.0,0.6666666666666666,0.5,2.5,0,2,1.0,3.0
1994-10-09,Croatia,Lithuania,1.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,23.0,28.0,-5.0,1606.8035145787078,1398.8729359591307,207.9305786195771,6.714987332546282,6.0,0.7149873325462819,4.0,4.0,0.5,2.5,0,0,2.0,0.0
1994-10-12,North Macedonia,Spain,0.5,0.6777777777777777,1.0,1.0,2.0,1.1666666666666667,1.0,2.0,1.0,0.3333333333333333,12.0,60.0,-48.0,1516.897751797694,1809.0586044374436,-292.1608526397497,6.0,7.591185656783271,-1.5911856567832707,0.8571428571428571,2.0,0.5,2.5,0,2,0.0,2.0
1994-10-12,Greece,Finland,0.3333333333333333,0.0,1.25,2.75,0.0,2.0,1.25,0.0,0.0,0.0,42.0,35.0,7.0,1594.1806016144428,1493.9438916624404,100.23670995200246,6.0,6.0,0.0,0.625,0.0,0.5,2.5,0,0,4.0,0.0
1994-10-12,Republic of Ireland,Liechtenstein,0.5,0.0,1.0,0.8,0.5,4.0,1.0,0.5,0.2,0.0,54.0,2.0,52.0,1736.220608456261,1440.0736530898564,296.14695536640465,6.0,6.0,0.0,0.25,0.625,0.5,2.5,0,0,4.0,0.0
